activity_id,attraction_id,activity_name,activity_full_name,activity_description,activities_keywords,min_duration,max_duration,price,currency
1,1,Taking a guided tour,Taking a guided tour at Tower of London,Guided tour by a Yeoman Warder to learn about the history and legends of the Tower.,"Educational, Guided, Tour, History, Beginner-Friendly, Family-Friendly, Wheelchair Accessible, Scenic, Tourist Attraction, Traditional, Full-Day",1 hour,2 hours,25,GBP
2,1,Visiting the Jewel House,Visiting the Jewel House at Tower of London,Visit the Jewel House to see the Crown Jewels and other royal regalia.,"Educational, History, Guided, Museum, Beginner-Friendly, Family-Friendly, Wheelchair Accessible, Tourist Attraction, Traditional, Short (1-2 hours)",1 hour,1.5 hours,20,GBP
3,1,Observing the ravens,Observing the ravens at Tower of London,Observe the famous ravens of the Tower and learn about the legend that surrounds them.,"Educational, Interactive, Scenic, Local Experience, Family-Friendly, Pet-Friendly, Traditional, Short (1-2 hours)",30 minutes,1 hour,Free,-
4,1,Attending a medieval banquet,Attending a medieval banquet at Tower of London,Attend a themed medieval banquet within the Tower's historic walls.,"Cultural Immersion, Interactive, Traditional, Luxury, Guided, Food Festivals, Evening, Groups, Family-Friendly",3 hours,4 hours,100,GBP
5,2,Exploring royal fashion,Exploring royal fashion at Kensington Palace,Explore the fashion and style of the royals through the centuries.,"Educational, History, Guided, Art & Design, Fashion, Museum, Scenic, Luxury, Traditional, Mid-Range, Family-Friendly",1 hour,2 hours,15,GBP
6,2,Strolling through the Sunken Garden,Strolling through the Sunken Garden at Kensington Palace,"Stroll through the beautiful Sunken Garden, redesigned in memory of Princess Diana.","Relaxing, Scenic, Outdoors, Family-Friendly, Kid-Friendly, Couples, Nature & Wildlife, Short (1-2 hours)",30 minutes,1 hour,Free,-
7,2,Discovering Queen Victoria's life,Discovering Queen Victoria's life at Kensington Palace,Discover the life and legacy of Queen Victoria in the exhibition dedicated to her.,"Educational, History, Guided, Traditional, Scenic, Museum, Family-Friendly, Intermediate, Mid-Range, Short (1-2 hours)",1 hour,2 hours,15,GBP
8,2,Enjoying afternoon tea,Enjoying afternoon tea at Kensington Palace,Enjoy a traditional afternoon tea in the Orangery or Palace Gardens.,"Cultural Immersion, Local Cuisine, Traditional, Gourmet Experiences, Couples, Family-Friendly, Mid-Range, Luxury, Fixed Duration, Low Exertion",1.5 hours,2 hours,30,GBP
9,3,Watching the Changing of the Guard,Watching the Changing of the Guard at Buckingham Palace,Witness the iconic Changing of the Guard ceremony outside the palace.,"Cultural Immersion, Scenic, Guided, Traditional, Wheelchair Accessible, Family-Friendly, Tourist Attraction, Best Time to Visit, Large Groups, Morning",45 minutes,1 hour,Free,-
10,3,Touring the State Rooms,Touring the State Rooms at Buckingham Palace,"Take a guided tour of the State Rooms, open to the public during the summer months.","Educational, History, Guided, Art & Design, Architecture, Traditional, Luxury, Full-Day, Family-Friendly, Scenic, Mid-Range, Large Groups",2 hours,3 hours,25,GBP
11,3,Visiting the Royal Mews,Visiting the Royal Mews at Buckingham Palace,Visit the Royal Mews to see the historic carriages and horses used by the royal family.,"Educational, History, Guided, Traditional, Family-Friendly, Wheelchair Accessible, Kid-Friendly, Guided Tours, Short (1-2 hours)",1 hour,1.5 hours,15,GBP
12,3,Exploring the gardens,Exploring the gardens at Buckingham Palace,Explore the vast gardens of Buckingham Palace on a guided tour.,"Relaxing, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Elderly-Friendly, Guided, Couples, Walking, Short (1-2 hours)",1 hour,2 hours,10,GBP
13,4,Navigating the maze,Navigating the maze at Hampton Court Palace,"Navigate the famous maze, one of the oldest surviving hedge mazes in the UK.","Adventure, Interactive, Family-Friendly, Kid-Friendly, Fun, Outdoors, Moderate Exertion, Scenic, Traditional, Couples, Guided",45 minutes,1 hour,5,GBP
14,4,Discovering Tudor kitchens,Discovering Tudor kitchens at Hampton Court Palace,Discover the kitchens that once served Henry VIII and his court.,"Educational, History, Traditional, Culinary, Guided, Mid-Range, Family-Friendly, Kid-Friendly, Interactive, Short (1-2 hours)",1 hour,1.5 hours,12,GBP
15,4,Playing in the Magic Garden,Playing in the Magic Garden at Hampton Court Palace,Let children play and explore in the whimsical Magic Garden.,"Adventure, Interactive, Family-Friendly, Kid-Friendly, Outdoors, Scenic, Fun, Seasonal, Best Time to Visit, Short (1-2 hours)",1 hour,2 hours,10,GBP
16,4,Watching historic reenactments,Watching historic reenactments at Hampton Court Palace,Watch costumed actors reenact scenes from the palace's rich history.,"Cultural Immersion, History, Traditional, Guided, Educational, Interactive, Family-Friendly, Kid-Friendly, Seasonal Events, Fixed Duration, Groups",1 hour,1.5 hours,15,GBP
17,5,Watching the Changing of the Guard,Watching the Changing of the Guard at Windsor Castle,Experience the Changing of the Guard ceremony in the castle grounds.,"Cultural Immersion, Scenic, Guided, Traditional, Wheelchair Accessible, Family-Friendly, Tourist Attraction, Best Time to Visit, Large Groups, Morning",45 minutes,1 hour,Free,-
18,5,Visiting St George's Chapel,Visiting St George's Chapel at Windsor Castle,Visit the chapel where many royal weddings and ceremonies take place.,"Educational, History, Guided, Architecture, Traditional, Family-Friendly, Wheelchair Accessible, Religious, Scenic, Short (1-2 hours)",1 hour,1.5 hours,12,GBP
19,5,Exploring Queen Mary’s Dolls' House,Exploring Queen Mary’s Dolls' House at Windsor Castle,Marvel at the intricate details of Queen Mary's Dolls' House.,"Educational, History, Traditional, Family-Friendly, Kid-Friendly, Museum, Architecture, Scenic, Short (1-2 hours), Fixed Duration",1 hour,1.5 hours,10,GBP
20,5,Touring the State Apartments,Touring the State Apartments at Windsor Castle,Explore the grand State Apartments and their magnificent art collections.,"Educational, History, Guided, Art & Design, Architecture, Traditional, Luxury, Full-Day, Family-Friendly, Scenic, Mid-Range, Large Groups",1.5 hours,2.5 hours,25,GBP
21,6,Touring Art Deco interiors,Touring Art Deco interiors at Eltham Palace,Explore the stunning Art Deco interiors of Eltham Palace.,"Educational, History, Guided, Art & Design, Architecture, Traditional, Luxury, Full-Day, Family-Friendly, Scenic, Mid-Range, Large Groups",1 hour,1.5 hours,12,GBP
22,6,Visiting the Great Hall,Visiting the Great Hall at Eltham Palace,Visit the impressive Great Hall and learn about its medieval history.,"Educational, History, Guided, Art & Design, Architecture, Traditional, Family-Friendly, Scenic, Short (1-2 hours), Mid-Range",1 hour,1.5 hours,10,GBP
23,6,Strolling through the gardens,Strolling through the gardens at Eltham Palace,Stroll through the beautiful gardens and around the moat.,"Relaxing, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Elderly-Friendly, Guided, Couples, Walking, Short (1-2 hours)",30 minutes,1 hour,Free,-
24,6,Engaging with interactive exhibits,Engaging with interactive exhibits at Eltham Palace,Engage with interactive exhibits that bring the palace’s history to life.,"Interactive, Educational, History, Technology, Family-Friendly, Kid-Friendly, Guided, Museum, Fun, Mid-Range, Short (1-2 hours)",1 hour,2 hours,10,GBP
25,7,Attending a garden open day,Attending a garden open day at Lambeth Palace,Attend one of the garden open days to explore the historic gardens.,"Cultural Immersion, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Guided, Traditional, Seasonal Events, Fixed Duration, Community Engagement",2 hours,4 hours,5,GBP
26,7,Touring the library and archives,Touring the library and archives at Lambeth Palace,Discover rare books and manuscripts in the Lambeth Palace Library.,"Educational, History, Guided, Literature, Museum, Family-Friendly, Kid-Friendly, Quiet, Traditional, Scenic, Short (1-2 hours)",1 hour,1.5 hours,8,GBP
27,7,Exploring the architecture,Exploring the architecture at Lambeth Palace,Take a guided tour focusing on the architecture and history of the palace.,"Educational, History, Guided, Architecture, Traditional, Family-Friendly, Kid-Friendly, Wheelchair Accessible, Scenic, Fixed Duration",1 hour,2 hours,10,GBP
28,7,Participating in seasonal events,Participating in seasonal events at Lambeth Palace,Participate in seasonal events such as Christmas fairs or summer fêtes.,"Cultural Immersion, Traditional, Seasonal Events, Family-Friendly, Kid-Friendly, Community Engagement, Guided, Fun, Best Time to Visit, Fixed Duration",2 hours,4 hours,15,GBP
29,8,Touring Clarence House,Touring Clarence House at St James's Palace,"Visit Clarence House, the official residence of the Prince of Wales, located nearby.","Educational, History, Guided, Architecture, Traditional, Family-Friendly, Kid-Friendly, Wheelchair Accessible, Scenic, Short (1-2 hours)",1 hour,1.5 hours,15,GBP
30,8,Watching the Changing of the Guard,Watching the Changing of the Guard at St James's Palace,Watch the guard change ceremony that takes place at St James's Palace.,"Cultural Immersion, Scenic, Guided, Traditional, Wheelchair Accessible, Family-Friendly, Tourist Attraction, Best Time to Visit, Large Groups, Morning",45 minutes,1 hour,Free,-
31,9,Admiring the Ceiling of Rubens,Admiring the Ceiling of Rubens at Whitehall Palace (Banqueting House),Admire the magnificent ceiling paintings by Sir Peter Paul Rubens.,"Art & Design, Architecture, Scenic, Traditional, History, Guided, Family-Friendly, Short (1-2 hours), Museum, Cultural Heritage",30 minutes,1 hour,8,GBP
32,9,Taking a historical tour,Taking a historical tour at Whitehall Palace (Banqueting House),Learn about the history of Whitehall Palace and its importance in British history.,"Educational, History, Guided, Traditional, Architecture, Family-Friendly, Kid-Friendly, Wheelchair Accessible, Scenic, Short (1-2 hours)",1 hour,1.5 hours,10,GBP
33,9,Experiencing banquet reenactments,Experiencing banquet reenactments at Whitehall Palace (Banqueting House),Experience reenactments of historic banquets held in the Banqueting House.,"Cultural Immersion, History, Traditional, Guided, Family-Friendly, Kid-Friendly, Food Festivals, Evening, Large Groups, Fixed Duration",2 hours,3 hours,50,GBP
34,9,Exploring the architecture,Exploring the architecture at Whitehall Palace (Banqueting House),Explore the architectural significance of this remaining part of the once-great palace.,"Educational, History, Guided, Architecture, Traditional, Family-Friendly, Kid-Friendly, Wheelchair Accessible, Scenic, Fixed Duration",1 hour,1.5 hours,10,GBP
35,10,Strolling through the botanical gardens,Strolling through the botanical gardens at Fulham Palace,Wander through the beautiful botanical gardens surrounding Fulham Palace.,"Relaxing, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Elderly-Friendly, Couples, Walking, Short (1-2 hours)",1 hour,2 hours,5,GBP
36,10,Exploring the Tudor courtyard,Exploring the Tudor courtyard at Fulham Palace,Explore the historic Tudor courtyard and its significance.,"Educational, History, Guided, Architecture, Traditional, Family-Friendly, Kid-Friendly, Scenic, Short (1-2 hours)",1 hour,1.5 hours,8,GBP
37,10,Visiting the museum,Visiting the museum at Fulham Palace,Visit the museum to learn about the palace’s history and former residents.,"Educational, History, Guided, Museum, Traditional, Family-Friendly, Kid-Friendly, Indoor, Short (1-2 hours)",1 hour,2 hours,10,GBP
38,10,Participating in seasonal workshops,Participating in seasonal workshops at Fulham Palace,"Participate in workshops such as gardening, art, and history-themed activities.","Interactive, Educational, History, Art & Craft, Family-Friendly, Kid-Friendly, Workshops, Seasonal, Traditional, Hands-On, Short (1-2 hours)",2 hours,4 hours,15,GBP
39,11,Exploring the palace ruins,Exploring the palace ruins at Richmond Palace,Discover the hidden history of a royal residence through its picturesque ruins.,"Educational, History, Traditional, Scenic, Architecture, Family-Friendly, Kid-Friendly, Walking, Off the Beaten Path, Fixed Duration",1 hour,1.5 hours,Free,-
