subcategory_id,subcategories,core_category_id,Description
1,Hiking,1,"Activities involving walking long distances, often in nature, on trails or in wilderness areas."
2,Climbing,1,"Activities that involve ascending natural or artificial rock faces, mountains, or walls."
3,Diving,1,"Activities that involve underwater exploration, typically using scuba or snorkeling gear."
4,Bungee Jumping,1,Activities that involve jumping from a high structure while connected to a large elastic cord.
5,Skydiving,1,Activities involving jumping from an aircraft and freefalling before deploying a parachute.
6,Rafting,1,"Activities involving navigating rivers in inflatable rafts, often through rapids."
7,Paragliding,1,"Activities that involve gliding through the air with a parachute-like wing, typically launched from a hill or cliff."
8,Surfing,1,Activities that involve riding ocean waves on a surfboard.
9,Zip-lining,1,"Activities that involve gliding down a cable, often through forests or over canyons."
10,Mountain Biking,1,"Activities involving cycling off-road, often on rugged terrain, using specially designed bikes."
11,Caving (Spelunking),1,"Activities involving exploring caves, often involving climbing, crawling, and squeezing through tight spaces."
12,Kayaking,1,"Activities that involve paddling a small, narrow watercraft through various types of water bodies."
13,Snowboarding,1,"Activities that involve descending snow-covered slopes on a board, similar to skiing but with both feet on a single board."
14,Rock Climbing,1,"Specific type of climbing that involves scaling vertical rock faces using hands, feet, and specialized gear."
15,Sandboarding,1,"Activities similar to snowboarding, but performed on sand dunes instead of snow."
16,Kite Surfing,1,Activities that involve riding on a surfboard while being pulled by a kite across water.
17,Mountaineering,1,"Activities that involve climbing mountains, often requiring specialized equipment and skills for both rock and ice climbing."
18,Trail Running,1,"Running on trails, often through natural environments like forests, mountains, or deserts."
19,Glacier Hiking,1,"Activities that involve walking or climbing on glaciers, usually requiring special equipment like crampons and ice axes."
20,Wildlife Safari,1,"Activities that involve observing wild animals in their natural habitat, typically in a guided tour format."
21,Museums,2,"Activities involving visits to institutions that collect, preserve, and exhibit art, artifacts, and historical objects."
22,Historical Sites,2,"Activities that involve visiting locations of significant historical importance, including ancient ruins, battlefields, and monuments."
23,Cultural Tours,2,"Guided tours that focus on the cultural heritage, traditions, and history of a particular area or community."
24,Festivals,2,"Activities involving participation in or attendance at cultural festivals celebrating art, music, food, or traditions."
25,Art Galleries,2,"Visiting spaces dedicated to the exhibition of visual art, including paintings, sculptures, and photography."
26,Performing Arts,2,"Activities that involve attending live performances of music, theater, dance, or opera."
27,Cultural Workshops,2,"Participating in hands-on workshops that teach traditional crafts, cooking, or other cultural practices."
28,Religious Sites,2,"Activities that involve visiting and exploring religious landmarks, such as temples, churches, mosques, and synagogues."
29,Architectural Tours,2,"Guided or self-guided tours that focus on exploring significant buildings, structures, and urban designs."
30,Heritage Trails,2,"Walking or biking trails that connect multiple sites of cultural or historical significance, often with interpretive signs or guides."
31,Local Cuisine,2,Activities centered around tasting and learning about traditional and regional foods and beverages.
32,Language Immersion,2,"Activities that involve learning and practicing a new language in a cultural context, often through language schools or homestays."
33,Traditional Crafts,2,Activities involving the creation or purchase of handmade goods that reflect the cultural heritage of a region.
34,Folk Music & Dance,2,Activities that involve experiencing or participating in traditional music and dance performances.
35,Cultural Heritage Sites,2,Visiting UNESCO World Heritage Sites and other locations recognized for their cultural significance.
36,Literature & Poetry,2,"Activities related to exploring the literary history of a region, including visits to famous authors' homes, literary festivals, or readings."
37,Film & Cinema,2,"Activities involving the viewing of culturally significant films, participation in film festivals, or visits to historic cinemas."
38,Historical Reenactments,2,"Attending or participating in reenactments of historical events, often with period costumes and performances."
39,Art & Craft Markets,2,"Visiting markets or fairs where local artists and craftspeople sell their work, often reflecting the cultural heritage of the area."
40,Cultural Exhibitions,2,"Attending temporary or permanent exhibitions that explore various aspects of culture, history, or art."
41,National Parks,3,"Activities involving visits to protected areas that showcase natural beauty, wildlife, and ecosystems."
42,Wildlife Watching,3,"Activities focused on observing animals in their natural habitats, such as birdwatching, safaris, or whale watching."
43,Botanical Gardens,3,"Visiting gardens dedicated to the collection, cultivation, and display of a wide range of plants."
44,Beaches,3,"Activities that involve spending time at the coast, including swimming, sunbathing, and beachcombing."
45,Mountains,3,"Activities that involve exploring mountainous regions, including hiking, trekking, and mountaineering."
46,Forests,3,"Activities that involve exploring wooded areas, including forest walks, canopy tours, and nature photography."
47,Desert Exploration,3,"Activities that involve exploring arid landscapes, such as dune bashing, desert safaris, and camel treks."
48,Waterfalls,3,"Activities centered around visiting and enjoying waterfalls, often including hiking or swimming."
49,Caves,3,"Activities that involve exploring underground formations, including guided cave tours and spelunking."
50,Lakes,3,"Activities that involve spending time around lakes, including boating, fishing, and picnicking."
51,Rivers,3,"Activities focused on exploring rivers, including rafting, kayaking, and riverside hiking."
52,Wetlands,3,"Activities that involve exploring marshes, swamps, and other wetland ecosystems, often for birdwatching or nature walks."
53,Volcanoes,3,"Activities that involve visiting volcanic areas, including hiking around craters, geothermal tours, and exploring lava fields."
54,Islands,3,"Activities that involve visiting islands, often focusing on unique ecosystems, beaches, and marine life."
55,Coral Reefs,3,"Activities centered around exploring underwater coral ecosystems, typically through snorkeling or diving."
56,Scenic Drives,3,"Activities that involve driving through areas of outstanding natural beauty, often along designated routes."
57,Nature Photography,3,"Activities focused on capturing images of landscapes, wildlife, and natural phenomena."
58,Star Gazing,3,"Activities that involve observing the night sky, often in areas with low light pollution, to view stars, planets, and other celestial events."
59,Glaciers,3,"Activities that involve exploring large masses of ice, including glacier hiking, tours, and photography."
60,Hot Springs,3,"Activities that involve visiting natural geothermal springs, often for relaxation and therapeutic purposes."
61,Spa Retreats,4,"Activities that involve spending time at spas for relaxation, wellness treatments, and rejuvenation."
62,Beach Resorts,4,"Activities that involve staying at resorts located on beaches, offering relaxation and ocean views."
63,Scenic Walks,4,"Activities that involve leisurely walking in scenic areas, such as parks, gardens, and coastal paths."
64,Meditation,4,"Activities focused on practicing meditation for relaxation and mental clarity, often in peaceful environments."
65,Yoga Retreats,4,"Activities that involve participating in yoga sessions, often in serene locations, to improve physical and mental well-being."
66,Hot Springs,4,"Activities that involve soaking in natural hot springs, often for therapeutic relaxation."
67,Wellness Resorts,4,"Activities centered around staying at resorts that offer a variety of wellness programs, including fitness, nutrition, and spa services."
68,Cruising,4,"Activities that involve traveling on cruise ships, often with a focus on relaxation, leisure, and luxury."
69,Gardens,4,"Activities that involve strolling through well-maintained gardens, often featuring flowers, trees, and tranquil settings."
70,Retreats,4,"Activities that involve going on retreats designed for relaxation and self-care, often in secluded or natural settings."
71,Floating Therapy,4,"Activities that involve floating in sensory deprivation tanks, also known as float tanks, for deep relaxation."
72,Aromatherapy Sessions,4,Activities that involve using essential oils and aromatic compounds for therapeutic relaxation and healing.
73,Massage Therapy,4,"Activities centered around receiving various forms of massage for relaxation, stress relief, and muscle recovery."
74,Luxury Accommodations,4,Activities that involve staying in high-end hotels or resorts offering premium amenities for relaxation and comfort.
75,Quiet Retreats,4,"Activities that focus on spending time in quiet, peaceful environments, often with minimal technology or distractions."
76,Hammam and Steam Baths,4,"Activities that involve using traditional steam baths, often for relaxation and cleansing."
77,Mindfulness Retreats,4,"Activities that involve attending retreats focused on mindfulness practices, including meditation and stress reduction techniques."
78,Therapeutic Treatments,4,"Activities centered around receiving treatments aimed at physical and mental wellness, such as hydrotherapy, acupuncture, or chiropractic care."
79,Nature Immersion,4,"Activities that involve deeply immersing oneself in natural surroundings, often to disconnect and relax."
80,Floating Villages,4,"Activities that involve staying in floating accommodations, such as bungalows or villas on the water, offering serene and peaceful experiences."
81,Theme Parks,5,"Activities that involve visiting amusement parks with rides, games, and entertainment suitable for all ages."
82,Zoos,5,Activities that involve visiting zoos to see and learn about animals from around the world in a family-friendly environment.
83,Aquariums,5,Activities that involve exploring aquariums to view and learn about marine life in a family-friendly setting.
84,Family Tours,5,"Guided tours designed specifically for families, often with a focus on education, fun, and safety for children."
85,Educational Workshops,5,"Activities that involve hands-on workshops or classes for families, often centered around learning new skills or subjects."
86,Nature Trails,5,Activities that involve walking or hiking on trails that are easy and safe for families with children.
87,Interactive Museums,5,Museums that offer interactive exhibits and activities specifically designed to engage children and families.
88,Water Parks,5,"Activities that involve visiting water parks with slides, pools, and water-based attractions suitable for families."
89,Playgrounds,5,Activities that involve spending time at playgrounds designed for children’s physical activity and play.
90,Family Picnics,5,"Activities that involve enjoying picnics in parks, gardens, or other outdoor spaces that are family-friendly."
91,Children’s Museums,5,"Museums specifically designed for children, offering interactive and educational exhibits that cater to younger audiences."
92,Animal Sanctuaries,5,"Activities that involve visiting sanctuaries that provide safe havens for animals, often with family-friendly tours and educational programs."
93,Storytelling Sessions,5,Activities that involve attending storytelling events or sessions designed to entertain and educate children.
94,Family-Friendly Beaches,5,Activities that involve visiting beaches with amenities and conditions that are safe and enjoyable for families with children.
95,Adventure Parks,5,"Parks that offer family-friendly adventure activities, such as zip-lining, obstacle courses, and climbing walls."
96,Puppet Shows,5,Activities that involve watching puppet shows or performances specifically designed for children and families.
97,Family Cruises,5,"Cruises designed with family-friendly amenities and activities, catering to the needs and interests of children and parents alike."
98,Botanical Gardens for Kids,5,Gardens with special sections or programs aimed at engaging children in nature and plant life.
99,Science Centers,5,"Interactive centers focused on science and technology, offering exhibits and activities that are educational and fun for families."
100,Mini-Golf,5,"A family-friendly version of golf, where players navigate small, themed courses with easy-to-play holes."
101,Ancient Ruins,6,"Activities that involve exploring the remains of ancient civilizations, such as temples, fortresses, and cities."
102,Castles,6,"Activities that involve visiting and touring historic castles, often with a focus on their architecture and history."
103,Battlefields,6,"Activities that involve visiting historic sites where significant battles took place, often with guided tours or reenactments."
104,War Memorials,6,Activities that involve visiting monuments and memorials dedicated to those who served or died in wars.
105,Historic Houses,6,"Activities that involve touring the homes of notable historical figures or families, often preserved as museums."
