activity_id,attraction_id,attraction_name,attraction_category,attraction_subcategory,location_city,location_country,opening_hour,latitude,longitude,activity_name,activity_full_name,activity_description,activities_keywords,min_duration,max_duration,price,currency,unique_feature_one,unique_feature_two,unique_feature_three,secret_tip,collection
1,1,Tower of London,historic site,castle,London,UK,"Mon-Fri: 9:00-17:30, Sat-Sun: 10:00-17:30",51.5081,-0.0761,Taking a guided tour,Taking a guided tour at Tower of London,Guided tour by a Yeoman Warder to learn about the history and legends of the Tower.,"Educational, Guided, Tour, History, Beginner-Friendly, Family-Friendly, Wheelchair Accessible, Scenic, Tourist Attraction, Traditional, Full-Day",1 hour,2 hours,25,GBP,"1. Conducted by Yeoman Warders, also known as Beefeaters.","2. Learn about the Tower’s 1,000-year history.",3. Access to exclusive areas not open to the public.,"Book tickets in advance to avoid long lines, especially during peak tourist season.",
2,1,Tower of London,historic site,castle,London,UK,"Mon-Fri: 9:00-17:30, Sat-Sun: 10:00-17:30",51.5081,-0.0761,Visiting the Jewel House,Visiting the Jewel House at Tower of London,Visit the Jewel House to see the Crown Jewels and other royal regalia.,"Educational, History, Guided, Museum, Beginner-Friendly, Family-Friendly, Wheelchair Accessible, Tourist Attraction, Traditional, Short (1-2 hours)",1 hour,1.5 hours,20,GBP,1. View the world-famous Crown Jewels.,2. Jewel House features a moving walkway to ensure smooth viewing.,3. Learn about the significance of each piece.,"Visit early in the day to avoid crowds, and take your time on the moving walkway for the best views.",
3,1,Tower of London,historic site,castle,London,UK,"Mon-Fri: 9:00-17:30, Sat-Sun: 10:00-17:30",51.5081,-0.0761,Observing the ravens,Observing the ravens at Tower of London,Observe the famous ravens of the Tower and learn about the legend that surrounds them.,"Educational, Interactive, Scenic, Local Experience, Family-Friendly, Pet-Friendly, Traditional, Short (1-2 hours)",30 minutes,1 hour,Free,-,"1. The ravens are known as the ""Guardians of the Tower.""","2. Learn about the legend that if the ravens leave, the Kingdom will fall.",3. Interaction with the Ravenmaster.,Find the Ravenmaster to learn interesting facts and perhaps see the ravens up close.,
4,1,Tower of London,historic site,castle,London,UK,"Mon-Fri: 9:00-17:30, Sat-Sun: 10:00-17:30",51.5081,-0.0761,Attending a medieval banquet,Attending a medieval banquet at Tower of London,Attend a themed medieval banquet within the Tower's historic walls.,"Cultural Immersion, Interactive, Traditional, Luxury, Guided, Food Festivals, Evening, Groups, Family-Friendly",3 hours,4 hours,100,GBP,1. Authentic medieval dining experience within historic walls.,2. Period costumes and live entertainment are part of the experience.,3. Dine like royalty with traditional medieval dishes.,Book in advance as spots are limited; consider dressing in period attire for added fun.,
5,2,Neuschwanstein Castle,Historical,Castle,Füssen,Germany,Mon-Sun: 9 AM - 6 PM,47.5576,10.7491,Castle Exploration Quest,Engage in a historical treasure hunt within Neuschwanstein Castle,"Embark on a captivating and educational treasure hunt in the iconic Neuschwanstein Castle, where participants search for historical artifacts, solve puzzles based on tales of Ludwig II, and discover fascinating facts about the castle's architecture and history. This interactive experience is perfect for families and history enthusiasts.","Historical, Interactive, Family-Friendly, Educational, Unique Experience",2 hours,4 hours,30,EUR,1. Combines adventure with historical learning.,2. Beautiful castle with stunning views of the Bavarian Alps.,3. Offers a chance to engage actively with the castle's rich history.,Visit early in the day to enjoy the castle with fewer crowds and enjoy the serene surroundings.,Top 25 Historic Landmarks
6,3,Cinque Terre Hiking Adventure,Adventure,Hiking,Cinque Terre,Italy,Mon-Sun: 8 AM - 6 PM,44.1267,9.6669,Cinque Terre Coastal Trail,Discover the breathtaking views of the Italian coastline,"Embark on a full-day guided hike along the famous Cinque Terre Coastal Trail. Experience stunning views of colorful cliffside villages, enjoy local cuisine at quaint eateries, and soak in the beauty of the Mediterranean landscape.","Outdoor, Scenic, Guided, Unique Experience, Local Cuisine, Group Activity, Nature Immersion, Italy, Europe",6 hours,8 hours,70,EUR,"1. Trails connect five picturesque villages, each with its unique charm.",2. Opportunity to sample local wines and seafood dishes.,3. Certified guides provide insights into the history and culture of the region.,Best to start early in the morning to enjoy cooler temperatures and the best views.,Top 100 National Monuments
7,4,Eternal City Escape,Cultural,Cultural Tours,Rome,Italy,Mon-Sun: 9 AM - 6 PM,41.9028,12.4964,Rome by Foot: Hidden Gems,Uncover the lesser-known treasures of Rome on a guided walking tour,"Stroll through the captivating streets of Rome with a local guide. Discover hidden churches, secret gardens, and artisanal shops while learning about the city's rich history and culture beyond the typical tourist hotspots.","Walking Tour, Guided, History, Cultural, Unique Experience, Local Experience, Hidden Gems, UNESCO World Heritage Sites",2 hours,4 hours,45,EUR,"1. Explore neighborhoods like Trastevere and Testaccio, known for their charm.",2. Taste traditional Roman snacks from family-owned establishments along the way.,3. Enjoy a small group setting for a more intimate experience.,Visit early in the morning for a peaceful experience and cooler temperatures.,UNESCO World Heritage Sites
8,5,Cinque Terre National Park,Nature,Cultural Tours,Riomaggiore,Italy,Mon-Sun: 9 AM - 7 PM,44.1087,9.7412,Cinque Terre Culinary Adventure,Discover the flavors of Cinque Terre through its local cuisine,Join a guided tour that combines hiking between the picturesque villages of Cinque Terre with stops to sample traditional dishes and wines from the region. Enjoy breathtaking views and culinary delights in one unforgettable experience.,"Food and Drink, Hiking, Scenic, Cultural, Culinary, Local Cuisine, UNESCO World Heritage Sites",3 hours,5 hours,80,EUR,"1. Experience local flavors including fresh seafood, pesto, and focaccia.",2. Learn about the history of the region’s culinary traditions.,3. Enjoy exclusive access to family-run trattorias away from the crowds.,"Best time to visit is during the shoulder seasons (April-May, September-October) for fewer tourists and mild weather.",UNESCO World Heritage Sites
9,6,Vespa Adventure,Adventure,Mountain Biking,Florence,Italy,Mon-Sun: 10 AM - 6 PM,43.7696,11.255,Vespa Day Tour,Explore Tuscany on a Vespa,,"Embark on an exhilarating day tour through the stunning Tuscan countryside on a classic Vespa scooter. Riders traverse rolling hills, olive groves, and vineyards while stopping at charming villages and enjoying local delicacies.","Adventure, Guided, Scenic, Culinary Experience, Unique Experience, Outdoor Adventure",6 hours,120,EUR,1. Experience the thrill of riding a Vespa in the picturesque countryside.,2. Discover hidden gems in the region that are off the beaten path.,3. Includes a traditional Tuscan lunch at a local vineyard.,Don’t forget your camera for breathtaking views at every turn!,
10,7,Cinque Terre Adventure Tour,Adventure,Hiking,Cinque Terre,Italy,Mon-Sun: 8 AM - 5 PM,44.104,9.6654,Cinque Terre Coastal Hike,Explore the breathtaking trails of Cinque Terre,"Embark on a guided hiking tour through the stunning coastal paths connecting the five picturesque villages of Cinque Terre. Discover panoramic views of the Mediterranean Sea, vibrant cliffside towns, and lush vineyards as you trek the famous Blue Trail.","Outdoor Activity, Group Tour, Nature, Scenic, Cultural Experience, Unique Experience, Nature & Wildlife, Adventure Sports, Hiking, Europe",4 hours,6 hours,75,EUR,1. Experience the vibrant color and charm of the coastal villages.,2. Learn about local traditions and cuisine from your guide.,3. Opportunity to taste authentic Ligurian focaccia during the hike.,Visit in late spring or early fall to enjoy the best weather and fewer tourists.,
