attraction_id,attraction_name,attraction_category,attraction_subcategory,location_city,location_country,opening_hour,latitude,longitude
1,Tower of London,historic site,castle,London,UK,"Mon-Fri: 9:00-17:30, Sat-Sun: 10:00-17:30",51.5081,-0.0761
2,Kensington Palace,historic site,royal residence,London,UK,Mon-Sun: 10:00-18:00,51.5059,-0.1877
3,Buckingham Palace,historic site,royal residence,London,UK,Mon-Sun: 9:30-19:30,51.5014,-0.1419
4,Hampton Court Palace,historic site,royal residence,London,UK,Mon-Sun: 10:00-16:30,51.4036,-0.3372
5,Windsor Castle,historic site,royal residence,Windsor,UK,Mon-Sun: 10:00-17:15,51.4839,-0.6044
6,Eltham Palace,historic site,royal residence,London,UK,"Mon-Fri: 10:00-16:00, Sat-Sun: 10:00-17:00",51.45,0.0508
7,Lambeth Palace,historic site,royal residence,London,UK,Mon-Fri: 9:00-17:00,51.4932,-0.1195
8,St James's Palace,historic site,royal residence,London,UK,Mon-Fri: 10:00-16:00,51.5045,-0.1391
9,Whitehall Palace (Banqueting House),historic site,royal residence,London,UK,Mon-Sun: 10:00-17:00,51.5042,-0.1254
10,Fulham Palace,historic site,royal residence,London,UK,"Mon-Fri: 9:00-17:00, Sat-Sun: 9:00-16:00",51.468,-0.2106
11,Richmond Palace,historic site,royal residence,London,UK,Mon-Sun: 10:00-16:00,51.4587,-0.3073
12,Greenwich Palace,historic site,royal residence,London,UK,Mon-Sun: 10:00-17:00,51.4811,-0.0094
13,The Queen's House,historic site,royal residence,London,UK,Wed-Mon: 10:00-17:00,51.481,-0.0089
14,Clarence House,historic site,royal residence,London,UK,Mon-Fri: 10:00-16:00,51.5038,-0.1401
15,Marlborough House,historic site,royal residence,London,UK,Mon-Fri: 10:00-16:00,51.5044,-0.1371
16,Somerset House,historic site,royal residence,London,UK,Mon-Sun: 10:00-18:00,51.5106,-0.1175
17,Syon House,historic site,royal residence,London,UK,Mon-Sun: 10:30-17:00,51.474,-0.3135
18,Kew Palace,historic site,royal residence,London,UK,Mon-Sun: 10:00-18:00,51.4839,-0.2956
19,Osterley Park House,historic site,royal residence,London,UK,Mon-Sun: 10:00-17:00,51.4957,-0.3506
20,Bushy House,historic site,royal residence,London,UK,Mon-Fri: 9:00-17:00,51.4156,-0.3389
